Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,Locust beans (carobs),2020,729.0,3280.0,4499.3
Algeria,Locust beans (carobs),2021,688.0,3219.0,4678.8
Algeria,Locust beans (carobs),2022,703.0,3387.0,4821.0
Algeria,Locust beans (carobs),2023,693.0,3424.3,4941.4
Algeria,Maize (corn),2020,530.0,3221.0,6073.9
Algeria,Maize (corn),2021,3606.0,18491.0,5127.8
Algeria,Maize (corn),2022,2000.0,11000.0,5500.0
Algeria,Maize (corn),2023,2000.0,12000.0,6000.0
Algeria,Margarine and shortening,2020,,2407.61,
Algeria,Margarine and shortening,2021,,1778.25,
Algeria,Margarine and shortening,2022,,4396.69,
Algeria,"Meat of camels, fresh or chilled",2020,,14718.3,
Algeria,"Meat of camels, fresh or chilled",2021,,14663.4,
Algeria,"Meat of camels, fresh or chilled",2022,,15144.38,
Algeria,"Meat of camels, fresh or chilled",2023,,15913.96,
Algeria,"Meat of cattle with the bone, fresh or chilled",2020,,144246.0,
Algeria,"Meat of cattle with the bone, fresh or chilled",2021,,146270.0,
Algeria,"Meat of cattle with the bone, fresh or chilled",2022,,140000.0,
Algeria,"Meat of cattle with the bone, fresh or chilled",2023,,138000.0,
Algeria,"Meat of chickens, fresh or chilled",2020,,489650.0,
Algeria,"Meat of chickens, fresh or chilled",2021,,392275.0,
Algeria,"Meat of chickens, fresh or chilled",2022,,407744.31,
Algeria,"Meat of chickens, fresh or chilled",2023,,421271.41,
Algeria,"Meat of goat, fresh or chilled",2020,,37002.7,
Algeria,"Meat of goat, fresh or chilled",2021,,38338.6,
Algeria,"Meat of goat, fresh or chilled",2022,,38872.83,
Algeria,"Meat of goat, fresh or chilled",2023,,38897.85,
Algeria,"Meat of pig with the bone, fresh or chilled",2020,,111.15,
Algeria,"Meat of pig with the bone, fresh or chilled",2021,,109.4,
Algeria,"Meat of pig with the bone, fresh or chilled",2022,,108.0,
Algeria,"Meat of pig with the bone, fresh or chilled",2023,,106.59,
Algeria,"Meat of rabbits and hares, fresh or chilled",2020,,8199.87,
Algeria,"Meat of rabbits and hares, fresh or chilled",2021,,8212.52,
Algeria,"Meat of rabbits and hares, fresh or chilled",2022,,8224.27,
Algeria,"Meat of rabbits and hares, fresh or chilled",2023,,8236.02,
Algeria,"Meat of sheep, fresh or chilled",2020,,334903.0,
Algeria,"Meat of sheep, fresh or chilled",2021,,342295.0,
Algeria,"Meat of sheep, fresh or chilled",2022,,346058.26,
Algeria,"Meat of sheep, fresh or chilled",2023,,360039.13,
Algeria,"Meat of turkeys, fresh or chilled",2020,,41106.0,
Algeria,"Meat of turkeys, fresh or chilled",2021,,26286.0,
Algeria,"Meat of turkeys, fresh or chilled",2022,,35526.94,
Algeria,"Meat of turkeys, fresh or chilled",2023,,36822.49,
Algeria,Mushrooms and truffles,2020,,1161.96,
Algeria,Mushrooms and truffles,2021,,1141.93,
Algeria,Mushrooms and truffles,2022,,1169.21,
Algeria,Mushrooms and truffles,2023,,1196.49,
Algeria,Natural honey,2020,,5377.0,
Algeria,Natural honey,2021,,5165.0,
Algeria,Natural honey,2022,,5706.69,
Algeria,Natural honey,2023,,6010.49,
Algeria,Oats,2020,62353.0,69385.0,1112.8
Algeria,Oats,2021,43274.0,40461.0,935.0
Algeria,Oats,2022,80000.0,81000.0,1012.5
Algeria,Oats,2023,80000.0,76000.0,950.0
Algeria,Olive oil,2020,,113600.0,
Algeria,Olive oil,2021,,71000.0,
Algeria,Olive oil,2022,,88200.0,
Algeria,Olives,2020,438828.0,1079508.0,2460.0
Algeria,Olives,2021,440008.0,704619.0,1601.4
Algeria,Olives,2022,469380.0,847031.81,1804.6
Algeria,Olives,2023,482055.0,904013.51,1875.3
Algeria,"Onions and shallots, dry (excluding dehydrated)",2020,50032.0,1665671.1,33292.2
Algeria,"Onions and shallots, dry (excluding dehydrated)",2021,49722.0,1710595.0,34403.0
Algeria,"Onions and shallots, dry (excluding dehydrated)",2022,49862.0,1759854.81,35294.6
Algeria,"Onions and shallots, dry (excluding dehydrated)",2023,49177.0,1813467.25,36876.4
Algeria,"Onions and shallots, green",2020,32.0,353.21,10923.2
Algeria,"Onions and shallots, green",2021,33.0,354.08,10891.8
Algeria,"Onions and shallots, green",2022,33.0,352.15,10818.8
Algeria,"Onions and shallots, green",2023,32.0,353.15,10877.8
Algeria,Oranges,2020,46648.0,1174845.2,25185.3
Algeria,Oranges,2021,47269.0,1137191.0,24057.7
Algeria,Oranges,2022,49366.0,1245387.71,25227.7
Algeria,Oranges,2023,52041.0,1359555.74,26124.7
Algeria,"Other beans, green",2020,12822.0,100308.3,7823.1
Algeria,"Other beans, green",2021,12539.0,87948.0,7014.2
Algeria,"Other beans, green",2022,12820.0,90269.65,7041.5
Algeria,"Other beans, green",2023,13135.0,103995.38,7917.3
Algeria,"Other citrus fruit, n.e.c.",2020,467.0,615.02,1316.7
Algeria,"Other citrus fruit, n.e.c.",2021,468.0,620.63,1326.7
Algeria,"Other citrus fruit, n.e.c.",2022,467.0,617.84,1322.0
Algeria,"Other citrus fruit, n.e.c.",2023,467.0,617.83,1324.4
Algeria,"Other fruits, n.e.c.",2020,12969.0,133801.3,10317.0
Algeria,"Other fruits, n.e.c.",2021,13461.0,125248.0,9304.5
Algeria,"Other fruits, n.e.c.",2022,13896.0,117832.23,8479.5
Algeria,"Other fruits, n.e.c.",2023,16172.0,133459.26,8252.3
Algeria,Other pulses n.e.c.,2020,115.0,115.0,1000.0
Algeria,Other pulses n.e.c.,2021,115.0,115.0,1000.0
Algeria,Other pulses n.e.c.,2022,134.0,126.0,940.7
Algeria,Other pulses n.e.c.,2023,134.0,126.0,940.7
Algeria,Other stone fruits,2020,2125.0,26534.0,12486.6
Algeria,Other stone fruits,2021,2115.0,28736.0,13589.0
Algeria,Other stone fruits,2022,2159.0,29713.52,13759.9
Algeria,Other stone fruits,2023,2195.0,30323.19,13814.5
Algeria,"Other vegetables, fresh n.e.c.",2020,56757.0,1458964.6,25705.5
Algeria,"Other vegetables, fresh n.e.c.",2021,59375.0,1467569.0,24717.0
Algeria,"Other vegetables, fresh n.e.c.",2022,60967.0,1538930.71,25241.9
Algeria,"Other vegetables, fresh n.e.c.",2023,60524.0,1583324.04,26160.1
Algeria,Peaches and nectarines,2020,16765.0,186444.1,11121.0
Algeria,Peaches and nectarines,2021,16223.0,186072.0,11469.7
Algeria,Peaches and nectarines,2022,16565.0,190641.64,11508.6
Algeria,Peaches and nectarines,2023,16936.0,199187.67,11761.2
Algeria,Pears,2020,19979.0,154860.5,7751.2
Algeria,Pears,2021,18704.0,149780.0,8008.1
Algeria,Pears,2022,20317.0,170989.82,8416.2
Algeria,Pears,2023,19281.0,170054.71,8819.8
Algeria,"Peas, dry",2020,9535.0,11026.8,1156.5
Algeria,"Peas, dry",2021,9785.0,8269.0,845.1
Algeria,"Peas, dry",2022,9635.0,9733.79,1010.2
Algeria,"Peas, dry",2023,10258.0,11402.39,1111.6
Algeria,"Peas, green",2020,39542.0,209409.4,5295.8
Algeria,"Peas, green",2021,35936.0,204415.0,5688.3
Algeria,"Peas, green",2022,36658.0,203460.2,5550.2
Algeria,"Peas, green",2023,39074.0,211552.43,5414.1
Algeria,Plums and sloes,2020,12689.0,98908.3,7794.8
Algeria,Plums and sloes,2021,11685.0,97056.0,8306.3
Algeria,Plums and sloes,2022,11869.0,98807.74,8324.7
Algeria,Plums and sloes,2023,11495.0,98278.19,8549.7
Algeria,Pomelos and grapefruits,2020,73.0,1722.0,23589.0
Algeria,Pomelos and grapefruits,2021,74.0,1814.0,24513.5
Algeria,Pomelos and grapefruits,2022,71.0,1776.47,25170.6
Algeria,Pomelos and grapefruits,2023,66.0,1708.72,25720.1
Algeria,Potatoes,2020,149465.0,4659482.0,31174.4
Algeria,Potatoes,2021,136855.0,4360880.0,31864.9
Algeria,Potatoes,2022,132624.0,4356127.74,32845.8
Algeria,Potatoes,2023,137747.0,4632151.71,33627.9
Algeria,"Pumpkins, squash and gourds",2020,15558.0,435326.5,27980.9
Algeria,"Pumpkins, squash and gourds",2021,15307.0,404851.0,26449.2
Algeria,"Pumpkins, squash and gourds",2022,15413.0,398854.15,25878.3
Algeria,"Pumpkins, squash and gourds",2023,15663.0,455140.94,29057.7
Algeria,Quinces,2020,1615.0,11748.0,7274.3
Algeria,Quinces,2021,1203.0,8538.0,7097.3
